timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-04-28,160.9,165.0,157.32,164.31,164.31,122515812,0.0000,1.0
2023-04-27,152.64,160.48,152.37,160.19,160.19,127015177,0.0000,1.0
2023-04-26,160.29,160.67,153.14,153.75,153.75,152247096,0.0000,1.0
2023-04-25,159.82,163.47,158.75,160.67,160.67,121999312,0.0000,1.0
2023-04-24,164.65,165.65,158.61,162.55,162.55,140006559,0.0000,1.0
2023-04-21,164.8,166.0,161.3208,165.08,165.08,123538954,0.0000,1.0
2023-04-20,166.165,169.7,160.56,162.99,162.99,210970819,0.0000,1.0
2023-04-19,179.1,183.5,177.65,180.59,180.59,125732687,0.0000,1.0
2023-04-18,187.15,187.69,183.5775,184.31,184.31,92067016,0.0000,1.0
2023-04-17,186.32,189.69,182.69,187.04,187.04,116177121,0.0000,1.0
2023-04-14,183.95,186.28,182.01,185.0,185.0,96438664,0.0000,1.0
2023-04-13,182.955,186.5,180.94,185.9,185.9,112932985,0.0000,1.0
2023-04-12,190.74,191.5846,180.31,180.54,180.54,150256278,0.0000,1.0
2023-04-11,186.69,189.19,185.6475,186.79,186.79,115770892,0.0000,1.0
2023-04-10,179.94,185.1,176.11,184.51,184.51,142154637,0.0000,1.0
2023-04-06,183.08,186.39,179.74,185.06,185.06,123857932,0.0000,1.0
2023-04-05,190.515,190.68,183.76,185.52,185.52,133882493,0.0000,1.0
2023-04-04,197.32,198.7446,190.32,192.58,192.58,126463845,0.0000,1.0
2023-04-03,199.91,202.6897,192.2,194.77,194.77,169545900,0.0000,1.0
2023-03-31,197.53,207.79,197.2,207.46,207.46,170222118,0.0000,1.0
2023-03-30,195.58,197.33,194.42,195.28,195.28,110252238,0.0000,1.0
2023-03-29,193.13,195.29,189.44,193.88,193.88,123660026,0.0000,1.0
2023-03-28,192.0,192.35,185.43,189.19,189.19,98654635,0.0000,1.0
2023-03-27,194.415,197.39,189.94,191.81,191.81,120851587,0.0000,1.0
2023-03-24,191.65,192.36,187.15,190.41,190.41,116531584,0.0000,1.0
2023-03-23,195.26,199.31,188.65,192.22,192.22,144193876,0.0000,1.0
2023-03-22,199.3,200.66,190.95,191.15,191.15,150376373,0.0000,1.0
2023-03-21,188.28,198.0,188.04,197.58,197.58,153391444,0.0000,1.0
2023-03-20,178.08,186.44,176.35,183.25,183.25,129684359,0.0000,1.0
2023-03-17,184.515,186.2199,177.33,180.13,180.13,133197140,0.0000,1.0
2023-03-16,180.365,185.81,178.84,184.13,184.13,121374453,0.0000,1.0
2023-03-15,180.8,182.34,176.03,180.45,180.45,145995583,0.0000,1.0
2023-03-14,177.31,183.8,177.1401,183.26,183.26,143717897,0.0000,1.0
2023-03-13,167.455,177.35,163.91,174.48,174.48,167790256,0.0000,1.0
2023-03-10,175.13,178.29,168.44,173.44,173.44,191488872,0.0000,1.0
2023-03-09,180.25,185.18,172.5124,172.92,172.92,170023794,0.0000,1.0
2023-03-08,185.04,186.5,180.0,182.0,182.0,151897763,0.0000,1.0
2023-03-07,191.38,194.2,186.1,187.71,187.71,148125790,0.0000,1.0
2023-03-06,198.54,198.6,192.3,193.81,193.81,128100106,0.0000,1.0
2023-03-03,194.795,200.48,192.88,197.79,197.79,154193277,0.0000,1.0
2023-03-02,186.74,193.7499,186.01,190.9,190.9,181979154,0.0000,1.0
2023-03-01,206.21,207.2,198.52,202.77,202.77,156852790,0.0000,1.0
2023-02-28,210.59,211.23,203.75,205.71,205.71,153144912,0.0000,1.0
2023-02-27,202.03,209.42,201.26,207.63,207.63,161028315,0.0000,1.0
2023-02-24,196.325,197.6695,192.8,196.88,196.88,142228105,0.0000,1.0
2023-02-23,203.91,205.14,196.33,202.07,202.07,146359950,0.0000,1.0
2023-02-22,197.93,201.99,191.78,200.86,200.86,191828457,0.0000,1.0
2023-02-21,204.99,209.71,197.22,197.37,197.37,180018588,0.0000,1.0
2023-02-17,199.985,208.44,197.5,208.31,208.31,213738549,0.0000,1.0
2023-02-16,210.78,217.65,201.84,202.04,202.04,229586538,0.0000,1.0
2023-02-15,211.755,214.66,206.11,214.24,214.24,182108581,0.0000,1.0
